A002457,임시이름,2,66
A000505,임시이름,69,78
A009653,임시이름,58,75
A001487,임시이름,62,7
A009667,임시이름,51,60
A000542,임시이름,40,23
A004104,임시이름,70,25
A005300,임시이름,13,73
A008190,임시이름,100,98
A000229,임시이름,28,86
A002524,임시이름,15,15
A005243,임시이름,98,69
A005017,임시이름,16,59
A003227,임시이름,45,70
A006246,임시이름,73,67
A005575,임시이름,93,53
A001013,임시이름,29,49
A004376,임시이름,60,38
A001164,임시이름,84,50
A001893,임시이름,8,79
A008036,임시이름,10,30
A004380,임시이름,60,61
A004849,임시이름,38,17
A008769,임시이름,10,1
A000961,임시이름,61,37
A007293,임시이름,48,95
A008286,임시이름,47,51
A000370,임시이름,8,22
A008777,임시이름,2,96
A002265,임시이름,59,28
A003409,임시이름,46,92
A003643,임시이름,29,90
A006819,임시이름,19,31
A001307,임시이름,66,38
A007774,임시이름,31,70
A005108,임시이름,55,31
A002281,임시이름,54,19
A009645,임시이름,18,62
A008304,임시이름,23,46
A002761,임시이름,67,62
A003995,임시이름,12,98
A007131,임시이름,34,39
A008684,임시이름,66,21
A005013,임시이름,81,25
A004494,임시이름,83,59
A008307,임시이름,23,22
A005602,임시이름,7,9
A005594,임시이름,3,83
A003922,임시이름,90,72
A004195,임시이름,56,66
A006816,임시이름,23,18
A002572,임시이름,15,5
A008216,임시이름,13,91
A006770,임시이름,70,44
A003768,임시이름,21,34
A003035,임시이름,76,100
A008724,임시이름,71,37
A009804,임시이름,66,95
A009408,임시이름,95,26
A006388,임시이름,50,44
A004670,임시이름,42,24
A009387,임시이름,48,34
A004793,임시이름,38,44
A000685,임시이름,54,61
A007124,임시이름,91,94
A001672,임시이름,36,66
A003577,임시이름,88,85
A003892,임시이름,44,67
A001172,임시이름,19,77
A003635,임시이름,77,7
A005161,임시이름,9,60
A009810,임시이름,35,36
A007535,임시이름,75,19
A004970,임시이름,4,60
A006536,임시이름,28,98
A004542,임시이름,44,99
A009491,임시이름,18,83
A005629,임시이름,1,20
A004183,임시이름,91,6
A001496,임시이름,60,53
A005046,임시이름,53,31
A008759,임시이름,63,57
A002254,임시이름,19,63
A002942,임시이름,54,85
A008964,임시이름,99,80
A000451,임시이름,23,100
A004103,임시이름,4,90
A002045,임시이름,78,20
A003486,임시이름,31,32
A007641,임시이름,14,92
A004565,임시이름,87,15
A005330,임시이름,30,78
A009412,임시이름,2,84
A006592,임시이름,93,3
A003325,임시이름,55,4
A004148,임시이름,79,7
A000554,임시이름,83,3
A004810,임시이름,43,73
A006959,임시이름,78,6
A001939,임시이름,49,66
A008157,임시이름,73,48
A004284,임시이름,29,81
A006874,임시이름,98,72
A005357,임시이름,5,54
A000228,임시이름,40,10
A003267,임시이름,21,88
A003470,임시이름,21,34
A007906,임시이름,96,71
A004933,임시이름,9,67
A006733,임시이름,98,81
A008583,임시이름,18,9
A003605,임시이름,54,72
A000524,임시이름,33,67
A004079,임시이름,50,81
A002061,임시이름,84,31
A002945,임시이름,91,33
A003431,임시이름,96,43
A003327,임시이름,3,79
A001462,임시이름,67,14
A007018,임시이름,42,62
A000897,임시이름,39,90
A000810,임시이름,66,41
A007074,임시이름,15,61
A008634,임시이름,84,91
A003610,임시이름,98,74
A003366,임시이름,5,7
A007773,임시이름,38,24
A002620,임시이름,45,14
A005595,임시이름,58,97
A002994,임시이름,55,71
A002629,임시이름,15,87
A001958,임시이름,74,87
A002634,임시이름,76,46
A002223,임시이름,91,48
A001811,임시이름,100,100
A007113,임시이름,6,97
A002863,임시이름,70,44
A003695,임시이름,53,53
A007948,임시이름,29,18
A005951,임시이름,58,23
A008439,임시이름,89,25
A002632,임시이름,39,45
A004588,임시이름,47,25
A004298,임시이름,35,21
A007935,임시이름,47,71
A006701,임시이름,92,81
A002681,임시이름,77,15
A002208,임시이름,27,52
A002616,임시이름,58,95
A002793,임시이름,80,6
A002292,임시이름,1,94
A006833,임시이름,49,81
A006626,임시이름,40,64
A003093,임시이름,48,67
A004370,임시이름,34,42
A000011,임시이름,36,44
A007053,임시이름,88,93
A006680,임시이름,67,41
A005321,임시이름,92,46
A007509,임시이름,11,28
A009293,임시이름,76,20
A008072,임시이름,44,82
A007330,임시이름,69,55
A003926,임시이름,96,43
A000123,임시이름,46,95
A006852,임시이름,18,70
A008870,임시이름,85,4
A006398,임시이름,56,76
A002013,임시이름,46,91
A000798,임시이름,7,32
A007648,임시이름,73,83
A001305,임시이름,50,40
A009640,임시이름,45,78
A007740,임시이름,60,80
A007521,임시이름,98,37
A006012,임시이름,86,32
A002082,임시이름,87,81
A005111,임시이름,89,63
A001703,임시이름,85,35
A009399,임시이름,65,70
A000163,임시이름,70,92
A000851,임시이름,34,21
A008140,임시이름,24,75
A008616,임시이름,73,86
A007701,임시이름,94,75
A006453,임시이름,22,33
A004371,임시이름,23,57
A001088,임시이름,39,83
A003579,임시이름,55,71
A008293,임시이름,82,91
A008184,임시이름,47,69
A005422,임시이름,6,38
A008110,임시이름,17,52
A007956,임시이름,37,70
A000448,임시이름,60,82
A002406,임시이름,88,49
A009258,임시이름,57,65
A001124,임시이름,66,60
A006732,임시이름,60,24
A008651,임시이름,55,83
A002835,임시이름,14,70
A000599,임시이름,44,60
A009987,임시이름,3,38
A002955,임시이름,52,43
A003159,임시이름,39,83
A008244,임시이름,66,46
A004778,임시이름,65,29
A000601,임시이름,51,8
A001544,임시이름,66,40
A002099,임시이름,54,88
A007737,임시이름,69,21
A006674,임시이름,28,6
A003419,임시이름,96,36
A005105,임시이름,57,29
A002303,임시이름,14,5
A009557,임시이름,77,10
A007565,임시이름,96,63
A004294,임시이름,84,37
A003368,임시이름,91,93
A003735,임시이름,45,89
A002683,임시이름,44,60
A003825,임시이름,24,69
A008605,임시이름,33,2
A002954,임시이름,36,84
A002204,임시이름,9,98
A008549,임시이름,41,88
A001037,임시이름,52,10
A002163,임시이름,90,84
A003207,임시이름,9,55
A006538,임시이름,4,2
A009956,임시이름,1,23
A000848,임시이름,78,37
A009746,임시이름,93,97
A003221,임시이름,60,70
A003720,임시이름,64,43
A002775,임시이름,7,43
A003135,임시이름,88,37
A000570,임시이름,94,68
A003195,임시이름,60,2
A007228,임시이름,63,80
A000898,임시이름,4,78
A004521,임시이름,21,81
A006377,임시이름,33,76
A006286,임시이름,26,44
A008457,임시이름,39,42
A003326,임시이름,17,26
A009800,임시이름,53,25
A004000,임시이름,74,35
A007482,임시이름,60,42
A004848,임시이름,32,52
A006412,임시이름,62,44
A002426,임시이름,54,97
A008762,임시이름,65,40
A003134,임시이름,96,57
A009702,임시이름,95,21
A002699,임시이름,16,88
A002685,임시이름,33,47
A000287,임시이름,91,43
A001805,임시이름,58,27
A004409,임시이름,79,18
A000805,임시이름,36,91
A004210,임시이름,3,1
A001039,임시이름,64,94
A009020,임시이름,38,59
A006189,임시이름,8,40
A006522,임시이름,82,19
A008770,임시이름,42,70
A001721,임시이름,13,95
A005603,임시이름,55,11
A002016,임시이름,58,36
A002566,임시이름,5,100
A005180,임시이름,44,79
A006551,임시이름,86,3
A007311,임시이름,66,27
A009974,임시이름,72,7
A003497,임시이름,18,44
A001184,임시이름,81,79
A007933,임시이름,81,75
A007657,임시이름,6,97
A007163,임시이름,21,86
A009251,임시이름,60,17
A008565,임시이름,71,42
A003746,임시이름,14,40
A005867,임시이름,54,54
A002037,임시이름,41,5
A005043,임시이름,4,52
A004182,임시이름,50,87
A007692,임시이름,56,45
A008149,임시이름,72,34
A004186,임시이름,49,17
A009627,임시이름,90,18
A009567,임시이름,65,93
A000635,임시이름,94,64
A001235,임시이름,48,69
A009641,임시이름,79,37
A009737,임시이름,52,50
A008327,임시이름,83,81
A007328,임시이름,39,58
A008362,임시이름,49,25
A009721,임시이름,64,7
A006349,임시이름,81,52
A008877,임시이름,2,52
A002184,임시이름,42,68
A007459,임시이름,57,24
A009896,임시이름,51,13
A001439,임시이름,19,11
A004876,임시이름,3,79
A005309,임시이름,4,24
A006699,임시이름,46,69
A006372,임시이름,25,14
A000665,임시이름,66,31
A004965,임시이름,70,91
A009124,임시이름,79,81
A007012,임시이름,31,30
A007880,임시이름,72,51
A006930,임시이름,44,91
A005290,임시이름,62,63
A003546,임시이름,55,31
A004035,임시이름,9,52
A009379,임시이름,36,3
A002691,임시이름,58,94
A008626,임시이름,21,72
A007918,임시이름,32,88
A002599,임시이름,90,43
